presetName,k,solverName,clauseNumber,clauseTime,satTime,totalTime
hexagon,1,solve,1,0.19999998807907104,0.5,0.699999988079071
hexagon,1,solve_alt,16,0.2999999523162842,0.10000002384185791,0.3999999761581421
hexagon,2,solve,6,0,0.09999996423721313,0.09999996423721313
hexagon,2,solve_alt,38,0.19999998807907104,0,0.19999998807907104
hexagon,3,solve,15,0,0.09999996423721313,0.09999996423721313
hexagon,3,solve_alt,66,0.10000002384185791,0,0.10000002384185791
hexagon,4,solve,20,0.09999996423721313,0,0.09999996423721313
hexagon,4,solve_alt,100,0.10000002384185791,0.30000001192092896,0.40000003576278687
hexagon,5,solve,15,0,0,0
hexagon,5,solve_alt,140,0.10000002384185791,0.10000002384185791,0.20000004768371582
hexagon,6,solve,6,0,0.09999996423721313,0.09999996423721313
hexagon,6,solve_alt,186,0.19999998807907104,0.30000001192092896,0.5
insect,1,solve,159,478.30000001192093,0,478.30000001192093
insect,1,solve_alt,191,0.19999998807907104,0.10000002384185791,0.30000001192092896
insect,2,solve,178,460.89999997615814,0.10000002384185791,461
insect,2,solve_alt,402,0.19999998807907104,0.19999998807907104,0.3999999761581421
insect,3,solve,348,472.80000001192093,0.09999996423721313,472.89999997615814
insect,3,solve_alt,633,0.30000001192092896,0.19999998807907104,0.5
insect,4,solve,1298,470.7000000476837,0.5999999642372131,471.30000001192093
insect,4,solve_alt,884,0.30000001192092896,0.30000001192092896,0.6000000238418579
insect,5,solve,5003,471.39999997615814,1.600000023841858,473
insect,5,solve_alt,1155,0.30000001192092896,0.699999988079071,1
insect,6,solve,15662,488.9000000357628,11.699999988079071,500.60000002384186
insect,6,solve_alt,1446,0.5,8.5,9
insect,7,solve,38918,495.0999999642372,5.100000023841858,500.19999998807907
insect,7,solve_alt,1757,0.5,61.80000001192093,62.30000001192093
insect,8,solve,77678,511.69999998807907,44.10000002384186,555.8000000119209
insect,8,solve_alt,2088,0.5999999642372131,60.19999998807907,60.799999952316284
insect,9,solve,126128,542,30.900000035762787,572.9000000357628
insect,9,solve_alt,2439,1.0999999642372131,64.10000002384186,65.19999998807907
insect,10,solve,168118,460.5,15,475.5
insect,10,solve_alt,2810,0.2999999523162842,88.70000004768372,89
insect,11,solve,184914,371.69999998807907,61.60000002384186,433.30000001192093
insect,11,solve_alt,3201,0.5,75,75.5
insect,12,solve,168118,288.39999997615814,13.800000011920929,302.19999998807907
insect,12,solve_alt,3612,0.6000000238418579,137.30000001192093,137.9000000357628
insect,13,solve,126128,171.89999997615814,16.899999976158142,188.79999995231628
insect,13,solve_alt,4043,0.6000000238418579,97.19999998807907,97.80000001192093
insect,14,solve,77678,77.80000001192093,4.5,82.30000001192093
insect,14,solve_alt,4494,1.5,145,146.5
insect,15,solve,38918,36.30000001192093,3.399999976158142,39.69999998807907
insect,15,solve_alt,4965,0.800000011920929,163.5,164.30000001192093
insect,16,solve,15662,12.199999988079071,1.100000023841858,13.300000011920929
insect,16,solve_alt,5456,0.800000011920929,178,178.80000001192093
insect,17,solve,5003,2.299999952316284,0.40000003576278687,2.699999988079071
insect,17,solve_alt,5967,0.800000011920929,166.19999998807907,167
insect,18,solve,1298,0.5999999642372131,0.10000002384185791,0.699999988079071
insect,18,solve_alt,6498,0.8999999761581421,149.80000001192093,150.69999998807907
insect,19,solve,348,0.10000002384185791,0.09999996423721313,0.19999998807907104
insect,19,solve_alt,7049,1,198.60000002384186,199.60000002384186
insect,20,solve,178,0.10000002384185791,0,0.10000002384185791
insect,20,solve_alt,7620,1.0999999642372131,197.4000000357628,198.5
icosagon,1,solve,1,498.69999998807907,0,498.69999998807907
icosagon,1,solve_alt,191,0.10000002384185791,0,0.10000002384185791
icosagon,2,solve,20,480.19999998807907,0.09999996423721313,480.2999999523163
icosagon,2,solve_alt,402,0.20000004768371582,0,0.20000004768371582
icosagon,3,solve,190,483.0999999642372,0,483.0999999642372
icosagon,3,solve_alt,633,0.30000001192092896,0,0.30000001192092896
icosagon,4,solve,1140,512,0.10000002384185791,512.1000000238419
icosagon,4,solve_alt,884,0.3999999761581421,0.10000002384185791,0.5
icosagon,5,solve,4845,520.8999999761581,0.6000000238418579,521.5
icosagon,5,solve_alt,1155,0.699999988079071,0.19999998807907104,0.8999999761581421
icosagon,6,solve,15504,497.69999998807907,0.800000011920929,498.5
icosagon,6,solve_alt,1446,0.5999999642372131,0,0.5999999642372131
icosagon,7,solve,38760,539.1999999880791,9.200000047683716,548.4000000357628
icosagon,7,solve_alt,1757,0.3999999761581421,0.19999998807907104,0.5999999642372131
icosagon,8,solve,77520,533.3000000119209,11.300000011920929,544.6000000238419
icosagon,8,solve_alt,2088,0.5,0.20000004768371582,0.7000000476837158
icosagon,9,solve,125970,537.3000000119209,13.699999988079071,551
icosagon,9,solve_alt,2439,0.6000000238418579,0.30000001192092896,0.9000000357627869
icosagon,10,solve,167960,460.19999998807907,30.899999976158142,491.0999999642372
icosagon,10,solve_alt,2810,0.800000011920929,0.5,1.300000011920929
icosagon,11,solve,184756,369.89999997615814,23,392.89999997615814
icosagon,11,solve_alt,3201,1,0.30000001192092896,1.300000011920929
icosagon,12,solve,167960,285.69999998807907,7.800000011920929,293.5
icosagon,12,solve_alt,3612,0.8999999761581421,0.40000003576278687,1.300000011920929
icosagon,13,solve,125970,166,7.799999952316284,173.79999995231628
icosagon,13,solve_alt,4043,1.199999988079071,0.800000011920929,2
icosagon,14,solve,77520,90.89999997615814,5.200000047683716,96.10000002384186
icosagon,14,solve_alt,4494,1.899999976158142,0.5,2.399999976158142
